ride_date,num_rides,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,year,days_since_launch,temp_sq,is_weekend,rained
2013-07-01,16650,74.8,78.1,73.4,7.8,0.0,Monday,7,True,False,False,False,False,False,2013,0,5595.04,0,0
2013-07-02,22745,76.1,82.9,73.0,8.0,0.73,Tuesday,7,False,False,False,False,True,False,2013,1,5791.209999999999,0,1
2013-07-03,21864,78.5,84.9,73.9,8.8,0.06,Wednesday,7,False,False,False,False,False,True,2013,2,6162.25,0,1
2013-07-04,22326,82.0,91.0,73.9,8.6,0.96,Thursday,7,False,False,False,True,False,False,2013,3,6724.0,0,1
2013-07-05,21842,84.4,93.0,75.9,9.0,0.0,Friday,7,False,False,False,False,False,False,2013,4,7123.360000000001,0,0
2013-07-06,20467,87.0,95.0,77.0,9.3,0.0,Saturday,7,False,True,False,False,False,False,2013,5,7569.0,1,0
2013-07-07,20477,88.8,98.1,79.0,8.8,0.0,Sunday,7,False,False,True,False,False,False,2013,6,7885.44,1,0
2013-07-08,21615,83.7,98.1,75.0,8.9,0.0,Monday,7,True,False,False,False,False,False,2013,7,7005.6900000000005,0,0
2013-07-09,26641,82.6,91.0,75.0,6.0,0.0,Tuesday,7,False,False,False,False,True,False,2013,8,6822.759999999999,0,0
2013-07-10,25732,82.0,91.0,75.0,8.7,0.08,Wednesday,7,False,False,False,False,False,True,2013,9,6724.0,0,1
2013-07-11,24417,82.3,91.0,75.0,7.6,0.02,Thursday,7,False,False,False,True,False,False,2013,10,6773.29,0,1
2013-07-12,19006,75.4,86.0,72.0,9.1,0.0,Friday,7,False,False,False,False,False,False,2013,11,5685.160000000001,0,0
2013-07-13,26119,71.4,78.1,68.0,10.5,0.23,Saturday,7,False,True,False,False,False,False,2013,12,5097.960000000001,1,1
2013-07-14,29287,80.2,93.9,69.1,6.0,0.01,Sunday,7,False,False,True,False,False,False,2013,13,6432.040000000001,1,1
2013-07-15,28069,87.2,93.9,72.0,7.8,0.0,Monday,7,True,False,False,False,False,False,2013,14,7603.84,0,0
2013-07-16,29842,86.5,93.9,79.0,7.9,0.0,Tuesday,7,False,False,False,False,True,False,2013,15,7482.25,0,0
2013-07-17,30550,87.4,97.0,78.1,4.0,0.0,Wednesday,7,False,False,False,False,False,True,2013,16,7638.760000000001,0,0
2013-07-18,28869,89.3,100.0,78.1,6.3,0.0,Thursday,7,False,False,False,True,False,False,2013,17,7974.49,0,0
2013-07-19,26591,92.5,100.0,82.9,8.9,0.0,Friday,7,False,False,False,False,False,False,2013,18,8556.25,0,0
2013-07-20,25278,89.2,100.0,82.9,11.3,0.0,Saturday,7,False,True,False,False,False,False,2013,19,7956.64,1,0
2013-07-21,30297,82.2,95.0,77.0,7.6,0.0,Sunday,7,False,False,True,False,False,False,2013,20,6756.84,1,0
2013-07-22,25979,77.1,87.1,75.0,8.3,0.0,Monday,7,True,False,False,False,False,False,2013,21,5944.409999999999,0,0
2013-07-23,32376,80.0,91.0,75.0,7.4,0.58,Tuesday,7,False,False,False,False,True,False,2013,22,6400.0,0,1
2013-07-24,35271,79.9,91.0,75.0,7.8,0.31,Wednesday,7,False,False,False,False,False,True,2013,23,6384.010000000001,0,1
2013-07-25,31084,68.0,82.9,64.0,11.7,0.0,Thursday,7,False,False,False,True,False,False,2013,24,4624.0,0,0
2013-07-26,34534,71.5,84.0,64.0,8.6,0.02,Friday,7,False,False,False,False,False,False,2013,25,5112.25,0,1
2013-07-27,32470,76.9,84.0,64.9,8.5,0.0,Saturday,7,False,True,False,False,False,False,2013,26,5913.610000000001,1,0
2013-07-28,23508,74.8,84.0,71.1,7.6,0.0,Sunday,7,False,False,True,False,False,False,2013,27,5595.04,1,0
2013-07-29,34915,77.3,89.1,71.1,5.7,0.13,Monday,7,True,False,False,False,False,False,2013,28,5975.29,0,1
2013-07-30,37334,75.9,89.1,70.0,8.7,0.0,Tuesday,7,False,False,False,False,True,False,2013,29,5760.810000000001,0,0
2013-07-31,37261,76.1,82.0,70.0,6.2,0.0,Wednesday,7,False,False,False,False,False,True,2013,30,5791.209999999999,0,0
2013-08-01,20138,73.5,82.0,69.1,7.6,0.0,Thursday,8,False,False,False,True,False,False,2013,31,5402.25,0,0
2013-08-02,35792,75.5,86.0,69.1,7.3,0.5,Friday,8,False,False,False,False,False,False,2013,32,5700.25,0,1
2013-08-03,29540,76.4,86.0,70.0,8.1,0.0,Saturday,8,False,True,False,False,False,False,2013,33,5836.960000000001,1,0
2013-08-04,35253,74.6,81.0,70.0,8.7,0.01,Sunday,8,False,False,True,False,False,False,2013,34,5565.159999999999,1,1
2013-08-05,36776,71.5,81.0,64.0,9.4,0.0,Monday,8,True,False,False,False,False,False,2013,35,5112.25,0,0
2013-08-06,37702,73.9,82.0,64.0,6.3,0.0,Tuesday,8,False,False,False,False,True,False,2013,36,5461.210000000001,0,0
2013-08-07,34396,74.4,82.0,66.9,9.5,0.0,Wednesday,8,False,False,False,False,False,True,2013,37,5535.360000000001,0,0
2013-08-08,28366,75.0,82.0,71.1,9.1,0.16,Thursday,8,False,False,False,True,False,False,2013,38,5625.0,0,1
2013-08-09,29017,78.2,89.1,71.1,9.2,0.08,Friday,8,False,False,False,False,False,False,2013,39,6115.240000000001,0,1
2013-08-10,37201,78.3,89.1,72.0,8.9,0.04,Saturday,8,False,True,False,False,False,False,2013,40,6130.889999999999,1,1
2013-08-11,33060,74.8,84.0,66.9,5.7,0.0,Sunday,8,False,False,True,False,False,False,2013,41,5595.04,1,0
2013-08-12,31457,74.8,82.0,66.9,5.5,0.09,Monday,8,True,False,False,False,False,False,2013,42,5595.04,0,1
2013-08-13,22437,74.0,82.0,70.0,5.3,0.01,Tuesday,8,False,False,False,False,True,False,2013,43,5476.0,0,1
2013-08-14,38150,69.5,78.1,62.1,12.4,0.73,Wednesday,8,False,False,False,False,False,True,2013,44,4830.25,0,1
2013-08-15,37386,69.8,78.1,62.1,8.2,0.0,Thursday,8,False,False,False,True,False,False,2013,45,4872.04,0,0
